date,crs,width,height,count,dtype,res_x,res_y,valid_pixels,valid_fraction_of_bbox_pixels,ndvi_min,ndvi_max,ndvi_mean,fai_min,fai_max,fai_mean,quality_min,quality_max,source_terra_pixels,source_aqua_pixels,source_other_pixels,nodata
20240530,EPSG:32651,223,151,5,float32,500.0,500.0,0,0.0,,,,,,,,,,,,-9999.0
20240531,EPSG:32651,223,151,5,float32,500.0,500.0,0,0.0,,,,,,,,,,,,-9999.0
20240601,EPSG:32651,223,151,5,float32,500.0,500.0,0,0.0,,,,,,,,,,,,-9999.0
20240602,EPSG:32651,223,151,5,float32,500.0,500.0,0,0.0,,,,,,,,,,,,-9999.0
20240603,EPSG:32651,223,151,5,float32,500.0,500.0,1620,0.048109761530009204,-0.9933554530143738,0.8464658260345459,-0.2897205658719794,-0.05622231215238571,0.2684840261936188,-0.021388140325131116,75.0,100.0,44,1576,0,-9999.0
20240604,EPSG:32651,223,151,5,float32,500.0,500.0,0,0.0,,,,,,,,,,,,-9999.0
20240605,EPSG:32651,223,151,5,float32,500.0,500.0,0,0.0,,,,,,,,,,,,-9999.0
20240606,EPSG:32651,223,151,5,float32,500.0,500.0,0,0.0,,,,,,,,,,,,-9999.0
20240607,EPSG:32651,223,151,5,float32,500.0,500.0,0,0.0,,,,,,,,,,,,-9999.0
20240608,EPSG:32651,223,151,5,float32,500.0,500.0,824,0.024470644136251597,-0.9960707426071167,0.9963269233703613,-0.27422905478002596,-0.060717687010765076,0.33847156167030334,-0.01659775961316767,55.0,100.0,171,653,0,-9999.0
20240609,EPSG:32651,223,151,5,float32,500.0,500.0,35,0.0010394084281174828,-0.9056603908538818,0.4351496398448944,-0.29663599729537965,-0.048955075442790985,0.05736361816525459,-0.02307948326425893,80.0,100.0,26,9,0,-9999.0
20240610,EPSG:32651,223,151,5,float32,500.0,500.0,1,2.969738366049951e-05,0.579483687877655,0.579483687877655,0.579483687877655,0.16021758317947388,0.16021758317947388,0.16021758317947388,60.0,60.0,0,1,0,-9999.0
20240611,EPSG:32651,223,151,5,float32,500.0,500.0,0,0.0,,,,,,,,,,,,-9999.0
20240612,EPSG:32651,223,151,5,float32,500.0,500.0,37,0.0010988031954384818,-0.24099516868591309,-0.21873727440834045,-0.2287887612710128,-0.04368562996387482,-0.03407929465174675,-0.039069409406668434,100.0,100.0,0,37,0,-9999.0
20240613,EPSG:32651,223,151,5,float32,500.0,500.0,0,0.0,,,,,,,,,,,,-9999.0
20240614,EPSG:32651,223,151,5,float32,500.0,500.0,3,8.909215098149852e-05,0.017349062487483025,0.6145575046539307,0.401567617431283,0.004918994847685099,0.16172613203525543,0.10072180706386764,60.0,80.0,3,0,0,-9999.0
20240615,EPSG:32651,223,151,5,float32,500.0,500.0,969,0.028776764767024024,-0.9914712309837341,0.9833101630210876,-0.10229928039352652,-0.057051658630371094,0.2952454388141632,-0.001273690653787431,60.0,100.0,128,841,0,-9999.0
20240616,EPSG:32651,223,151,5,float32,500.0,500.0,0,0.0,,,,,,,,,,,,-9999.0
20240617,EPSG:32651,223,151,5,float32,500.0,500.0,13,0.00038606598758649365,-0.21585902571678162,0.5688287615776062,0.07211461548621838,-0.035571858286857605,0.10751517862081528,0.01720644046480839,75.0,80.0,0,13,0,-9999.0
20240618,EPSG:32651,223,151,5,float32,500.0,500.0,2404,0.07139251031984083,-0.9872204661369324,0.7548936009407043,-0.4267082804908508,-0.056536681950092316,0.3359963893890381,-0.032481175177769744,55.0,100.0,0,2404,0,-9999.0
20240619,EPSG:32651,223,151,5,float32,500.0,500.0,0,0.0,,,,,,,,,,,,-9999.0
20240620,EPSG:32651,223,151,5,float32,500.0,500.0,0,0.0,,,,,,,,,,,,-9999.0
20240621,EPSG:32651,223,151,5,float32,500.0,500.0,0,0.0,,,,,,,,,,,,-9999.0
20240622,EPSG:32651,223,151,5,float32,500.0,500.0,0,0.0,,,,,,,,,,,,-9999.0
20240623,EPSG:32651,223,151,5,float32,500.0,500.0,0,0.0,,,,,,,,,,,,-9999.0
20240624,EPSG:32651,223,151,5,float32,500.0,500.0,0,0.0,,,,,,,,,,,,-9999.0
20240625,EPSG:32651,223,151,5,float32,500.0,500.0,0,0.0,,,,,,,,,,,,-9999.0
20240626,EPSG:32651,223,151,5,float32,500.0,500.0,0,0.0,,,,,,,,,,,,-9999.0
20240627,EPSG:32651,223,151,5,float32,500.0,500.0,0,0.0,,,,,,,,,,,,-9999.0
20240628,EPSG:32651,223,151,5,float32,500.0,500.0,0,0.0,,,,,,,,,,,,-9999.0
20240629,EPSG:32651,223,151,5,float32,500.0,500.0,0,0.0,,,,,,,,,,,,-9999.0
20240630,EPSG:32651,223,151,5,float32,500.0,500.0,0,0.0,,,,,,,,,,,,-9999.0
20240701,EPSG:32651,223,151,5,float32,500.0,500.0,0,0.0,,,,,,,,,,,,-9999.0
20240702,EPSG:32651,223,151,5,float32,500.0,500.0,0,0.0,,,,,,,,,,,,-9999.0
20240703,EPSG:32651,223,151,5,float32,500.0,500.0,1996,0.05927597778635702,-0.9887005686759949,0.9965397715568542,-0.37839925105502464,-0.08028552681207657,0.3707064390182495,-0.014727498661046185,55.0,100.0,1891,105,0,-9999.0
20240704,EPSG:32651,223,151,5,float32,500.0,500.0,1074,0.03189499005137647,-0.46138614416122437,0.7535513639450073,0.29687443282606957,-0.041901908814907074,0.20313939452171326,0.049599306585408204,60.0,100.0,1072,2,0,-9999.0
20240705,EPSG:32651,223,151,5,float32,500.0,500.0,2670,0.0792920143735337,-0.9945054650306702,0.9905325174331665,-0.3724706534945061,-0.041414774954319,0.38413044810295105,-0.00234323258894105,55.0,100.0,0,2670,0,-9999.0
20240706,EPSG:32651,223,151,5,float32,500.0,500.0,0,0.0,,,,,,,,,,,,-9999.0
20240707,EPSG:32651,223,151,5,float32,500.0,500.0,1,2.969738366049951e-05,0.514970064163208,0.514970064163208,0.514970064163208,0.1226578876376152,0.1226578876376152,0.1226578876376152,60.0,60.0,1,0,0,-9999.0
20240708,EPSG:32651,223,151,5,float32,500.0,500.0,0,0.0,,,,,,,,,,,,-9999.0
20240709,EPSG:32651,223,151,5,float32,500.0,500.0,0,0.0,,,,,,,,,,,,-9999.0
20240710,EPSG:32651,223,151,5,float32,500.0,500.0,0,0.0,,,,,,,,,,,,-9999.0
20240711,EPSG:32651,223,151,5,float32,500.0,500.0,0,0.0,,,,,,,,,,,,-9999.0
20240712,EPSG:32651,223,151,5,float32,500.0,500.0,0,0.0,,,,,,,,,,,,-9999.0
20240713,EPSG:32651,223,151,5,float32,500.0,500.0,0,0.0,,,,,,,,,,,,-9999.0
20240714,EPSG:32651,223,151,5,float32,500.0,500.0,0,0.0,,,,,,,,,,,,-9999.0
20240715,EPSG:32651,223,151,5,float32,500.0,500.0,0,0.0,,,,,,,,,,,,-9999.0
20240716,EPSG:32651,223,151,5,float32,500.0,500.0,5,0.00014848691830249755,0.3001464009284973,0.4019186198711395,0.3447700500488281,0.07110381871461868,0.10880562663078308,0.08880729526281357,80.0,80.0,5,0,0,-9999.0
20240717,EPSG:32651,223,151,5,float32,500.0,500.0,0,0.0,,,,,,,,,,,,-9999.0
20240718,EPSG:32651,223,151,5,float32,500.0,500.0,2177,0.06465120422890744,-0.9934853315353394,0.9522404074668884,-0.3154950500181442,-0.04508442059159279,0.3517722487449646,-0.003969316289485518,55.0,100.0,2177,0,0,-9999.0
20240719,EPSG:32651,223,151,5,float32,500.0,500.0,481,0.014284441540700264,-0.9735099077224731,0.9827451109886169,-0.2607573853832768,-0.03775879368185997,0.15174652636051178,-0.015362708271348465,75.0,100.0,481,0,0,-9999.0
20240720,EPSG:32651,223,151,5,float32,500.0,500.0,0,0.0,,,,,,,,,,,,-9999.0
