date,crs,width,height,count,res_x,res_y,nodata,valid_pixels,valid_area_km2,ndvi_min,ndvi_max,ndvi_mean,fai1640_min,fai1640_max,fai1640_mean,fai1240_min,fai1240_max,fai1240_mean,source_terra_pixels,source_aqua_pixels,fai1240_ge_-0.004,fai1240_ge_0,fai1240_ge_0.03,fai1240_ge_0.05,fai1240_ge_0.0693,fai1240_ge_0.1
20240601,EPSG:32651,144,139,6,500.0,500.0,-9999.0,0,0.0,,,,,,,,,,,,,,,,,
20240602,EPSG:32651,144,139,6,500.0,500.0,-9999.0,0,0.0,,,,,,,,,,,,,,,,,
20240603,EPSG:32651,144,139,6,500.0,500.0,-9999.0,1346,336.5,-0.9893617033958435,0.8464658260345459,-0.40994739102927574,-0.05622231215238571,0.2684840261936188,-0.036783584079294655,-0.049670588225126266,0.21959394216537476,-0.027957562870936908,5,1341,32,32,28,25,23,17
20240604,EPSG:32651,144,139,6,500.0,500.0,-9999.0,0,0.0,,,,,,,,,,,,,,,,,
20240605,EPSG:32651,144,139,6,500.0,500.0,-9999.0,0,0.0,,,,,,,,,,,,,,,,,
20240606,EPSG:32651,144,139,6,500.0,500.0,-9999.0,0,0.0,,,,,,,,,,,,,,,,,
20240607,EPSG:32651,144,139,6,500.0,500.0,-9999.0,0,0.0,,,,,,,,,,,,,,,,,
20240608,EPSG:32651,144,139,6,500.0,500.0,-9999.0,773,193.25,-0.9960707426071167,0.9963269233703613,-0.27025874802194544,-0.060717687010765076,0.33847156167030334,-0.018332944072606487,-0.04590436816215515,0.2660368084907532,-0.012642980628360164,149,624,168,164,115,93,74,43
20240609,EPSG:32651,144,139,6,500.0,500.0,-9999.0,35,8.75,-0.9056603908538818,0.4351496398448944,-0.29663599729537965,-0.048955075442790985,0.05736361816525459,-0.02307948326425893,-0.03805781528353691,0.060172438621520996,-0.014560187268736107,26,9,9,7,7,5,0,0
20240610,EPSG:32651,144,139,6,500.0,500.0,-9999.0,0,0.0,,,,,,,,,,,,,,,,,
20240611,EPSG:32651,144,139,6,500.0,500.0,-9999.0,0,0.0,,,,,,,,,,,,,,,,,
20240612,EPSG:32651,144,139,6,500.0,500.0,-9999.0,37,9.25,-0.24099516868591309,-0.21873727440834045,-0.2287887612710128,-0.04368562996387482,-0.03407929465174675,-0.039069409406668434,-0.03253832086920738,-0.025528740137815475,-0.029054626319054012,0,37,0,0,0,0,0,0
20240613,EPSG:32651,144,139,6,500.0,500.0,-9999.0,0,0.0,,,,,,,,,,,,,,,,,
20240614,EPSG:32651,144,139,6,500.0,500.0,-9999.0,0,0.0,,,,,,,,,,,,,,,,,
20240615,EPSG:32651,144,139,6,500.0,500.0,-9999.0,558,139.5,-0.9914712309837341,0.7639344334602356,-0.4089960993991958,-0.057051658630371094,0.2952454388141632,-0.037932592734534254,-0.04277680814266205,0.25184687972068787,-0.029257443444769975,0,558,11,11,9,7,7,7
20240616,EPSG:32651,144,139,6,500.0,500.0,-9999.0,0,0.0,,,,,,,,,,,,,,,,,
20240617,EPSG:32651,144,139,6,500.0,500.0,-9999.0,12,3.0,-0.21585902571678162,0.5688287615776062,0.046597799907128014,-0.035571858286857605,0.101713165640831,0.00968071228514115,-0.022360840812325478,0.0715317651629448,0.005205532652325928,0,12,4,4,3,2,1,0
20240618,EPSG:32651,144,139,6,500.0,500.0,-9999.0,2251,562.75,-0.6299212574958801,0.7548936009407043,-0.45366196133864956,-0.056536681950092316,0.3336498439311981,-0.036524450247453606,-0.05117646977305412,0.28986185789108276,-0.026306948752809846,0,2251,133,124,97,76,68,44
20240619,EPSG:32651,144,139,6,500.0,500.0,-9999.0,0,0.0,,,,,,,,,,,,,,,,,
20240620,EPSG:32651,144,139,6,500.0,500.0,-9999.0,0,0.0,,,,,,,,,,,,,,,,,
20240621,EPSG:32651,144,139,6,500.0,500.0,-9999.0,0,0.0,,,,,,,,,,,,,,,,,
20240622,EPSG:32651,144,139,6,500.0,500.0,-9999.0,0,0.0,,,,,,,,,,,,,,,,,
20240623,EPSG:32651,144,139,6,500.0,500.0,-9999.0,0,0.0,,,,,,,,,,,,,,,,,
20240624,EPSG:32651,144,139,6,500.0,500.0,-9999.0,0,0.0,,,,,,,,,,,,,,,,,
20240625,EPSG:32651,144,139,6,500.0,500.0,-9999.0,0,0.0,,,,,,,,,,,,,,,,,
20240626,EPSG:32651,144,139,6,500.0,500.0,-9999.0,0,0.0,,,,,,,,,,,,,,,,,
