date,observed_pixels,interpolated_pixels,missing_pixels,observed_fraction,interpolated_fraction,missing_fraction
20240501,1751,0,12288,0.12472398318968587,0.0,0.8752760168103141
20240502,0,1744,12295,0.0,0.12422537217750552,0.8757746278224945
20240503,0,1744,12295,0.0,0.12422537217750552,0.8757746278224945
20240504,0,1744,12295,0.0,0.12422537217750552,0.8757746278224945
20240505,0,1744,12295,0.0,0.12422537217750552,0.8757746278224945
20240506,69,1743,12227,0.004914879977206354,0.12415414203290832,0.8709309779898853
20240507,16,1800,12223,0.0011396823135550965,0.12821426027494837,0.8706460574114966
20240508,2653,1166,10220,0.18897357361635445,0.08305434860032766,0.7279720777833179
20240509,0,3816,10223,0.0,0.2718142317828905,0.7281857682171095
20240510,1704,2775,9560,0.12137616639361778,0.19766365125721205,0.6809601823491702
20240511,0,4479,9560,0.0,0.31903981765082984,0.6809601823491702
20240512,0,4280,9759,0.0,0.3048650188759883,0.6951349811240117
20240513,965,3679,9395,0.06873708953629176,0.262055701973075,0.6692072084906332
20240514,944,4049,9046,0.0672412564997507,0.2884108554740366,0.6443478880262127
20240515,471,4587,8981,0.033549398105278155,0.32673267326732675,0.6397179286273951
20240516,590,4530,8919,0.04202578531234418,0.3226725550252867,0.6353016596623691
20240517,1193,4247,8599,0.08497756250445189,0.3025144241042809,0.6125080133912671
20240518,5708,760,7571,0.40658166536078066,0.054134909893867086,0.5392834247453522
20240519,0,6366,7673,0.0,0.453451100505734,0.546548899494266
20240520,0,6366,7673,0.0,0.453451100505734,0.546548899494266
20240521,0,6307,7732,0.0,0.4492485219744996,0.5507514780255004
20240522,0,6307,7732,0.0,0.4492485219744996,0.5507514780255004
20240523,3383,3103,7553,0.24097157917230572,0.22102713868509152,0.5380012821426028
20240524,17,6407,7615,0.00121091245815229,0.45637153643421896,0.5424175511076288
20240525,0,6340,7699,0.0,0.451599116746207,0.548400883253793
20240526,0,6299,7740,0.0,0.44867868081772205,0.5513213191822779
20240527,0,6293,7746,0.0,0.4482512999501389,0.5517487000498611
20240528,1222,4979,7838,0.08704323669777049,0.3546548899494266,0.5583018733528029
20240529,1293,3411,9335,0.09210057696417123,0.24296602322102714,0.6649333998148016
20240530,0,4705,9334,0.0,0.33513783032979555,0.6648621696702044
20240531,0,4705,9334,0.0,0.33513783032979555,0.6648621696702044
20240601,0,4705,9334,0.0,0.33513783032979555,0.6648621696702044
20240602,0,4710,9329,0.0,0.33549398105278155,0.6645060189472185
20240603,1301,1953,10785,0.09267041812094878,0.13911247239831898,0.7682171094807323
20240604,0,3239,10800,0.0,0.23071443835030986,0.7692855616496902
20240605,0,3410,10629,0.0,0.24289479307642994,0.7571052069235701
20240606,0,3410,10629,0.0,0.24289479307642994,0.7571052069235701
20240607,0,3417,10622,0.0,0.2433934040886103,0.7566065959113897
20240608,687,3255,10097,0.048935109338271957,0.23185412066386496,0.719210769997863
20240609,35,3430,10574,0.0024930550609017737,0.24431939596837382,0.7531875489707244
20240610,0,3463,10576,0.0,0.2466699907400812,0.7533300092599188
20240611,0,3463,10576,0.0,0.2466699907400812,0.7533300092599188
20240612,37,3426,10576,0.0026355153500961606,0.24403447538998504,0.7533300092599188
20240613,0,3463,10576,0.0,0.2466699907400812,0.7533300092599188
20240614,0,2778,11261,0.0,0.19787734169100363,0.8021226583089963
20240615,550,2243,11246,0.03917657952845644,0.1597692143315051,0.8010542061400384
20240616,0,2787,11252,0.0,0.19851841299237838,0.8014815870076216
20240617,12,2775,11252,0.0008547617351663223,0.19766365125721205,0.8014815870076216
20240618,2106,804,11129,0.15001068452168959,0.0572690362561436,0.7927202792221668
20240619,0,2477,11562,0.0,0.17643706816724838,0.8235629318327516
20240620,0,2461,11578,0.0,0.17529738585369328,0.8247026141463067
20240621,0,2461,11578,0.0,0.17529738585369328,0.8247026141463067
20240622,0,2461,11578,0.0,0.17529738585369328,0.8247026141463067
20240623,0,3166,10873,0.0,0.22551463779471473,0.7744853622052853
20240624,0,3191,10848,0.0,0.22729539140964455,0.7727046085903554
