date,crs,width,height,count,nodata,valid_pixels,valid_area_km2,ndvi_min,ndvi_max,ndvi_mean,fai1640_min,fai1640_max,fai1640_mean,fai1240_min,fai1240_max,fai1240_mean
20240501,EPSG:32651,101,139,6,-9999.0,1751,437.75,-0.9244094491004944,0.835117757320404,-0.4690761803359491,-0.07133015245199203,0.27770593762397766,-0.03882535418123485,-0.04273831844329834,0.2132682353258133,-0.02834820323626376
20240502,EPSG:32651,101,139,6,-9999.0,0,0.0,,,,,,,,,
20240503,EPSG:32651,101,139,6,-9999.0,0,0.0,,,,,,,,,
20240504,EPSG:32651,101,139,6,-9999.0,0,0.0,,,,,,,,,
20240505,EPSG:32651,101,139,6,-9999.0,0,0.0,,,,,,,,,
20240506,EPSG:32651,101,139,6,-9999.0,69,17.25,-0.4658944606781006,0.5179487466812134,-0.41998946882676386,-0.050938792526721954,0.10626201331615448,-0.04405238355199496,-0.037725042551755905,0.08371428400278091,-0.031752729491479156
20240507,EPSG:32651,101,139,6,-9999.0,16,4.0,-0.22038567066192627,0.7841306924819946,0.164632985368371,-0.03284231200814247,0.10890673100948334,0.022940495517104864,-0.025271596387028694,0.0968833640217781,0.019148393301293254
20240508,EPSG:32651,101,139,6,-9999.0,2653,663.25,-0.9950000047683716,0.7700807452201843,-0.4044880665701109,-0.050170350819826126,0.32399576902389526,-0.034307680988092434,-0.050580840557813644,0.24383597075939178,-0.025993031937809948
20240509,EPSG:32651,101,139,6,-9999.0,0,0.0,,,,,,,,,
20240510,EPSG:32651,101,139,6,-9999.0,1704,426.0,-0.9282700419425964,0.740179717540741,-0.4389041804021526,-0.05452995002269745,0.2594433128833771,-0.03922058278153664,-0.04412201792001724,0.19139395654201508,-0.02969870145543054
20240511,EPSG:32651,101,139,6,-9999.0,0,0.0,,,,,,,,,
20240512,EPSG:32651,101,139,6,-9999.0,0,0.0,,,,,,,,,
20240513,EPSG:32651,101,139,6,-9999.0,965,241.25,-0.4955640137195587,0.7367269992828369,-0.3733866645742227,-0.05675015226006508,0.33393678069114685,-0.030480312714304948,-0.04369159787893295,0.25841546058654785,-0.022931624333726464
20240514,EPSG:32651,101,139,6,-9999.0,944,236.0,-0.46948739886283875,0.46174970269203186,-0.2798434382904384,-0.05440210923552513,0.10491999983787537,-0.04204531380871185,-0.03989579901099205,0.07957479357719421,-0.029574439164361584
20240515,EPSG:32651,101,139,6,-9999.0,471,117.75,-0.9893617033958435,0.9125799536705017,-0.3263458474331601,-0.04669909551739693,0.3012770712375641,-0.026466542491570686,-0.03543563187122345,0.2372603416442871,-0.018719957733903662
20240516,EPSG:32651,101,139,6,-9999.0,590,147.5,-0.5011441707611084,0.45591142773628235,-0.46060095798082146,-0.055671557784080505,0.12067316472530365,-0.04678418859346154,-0.04287680611014366,0.11580117791891098,-0.035866017540190684
20240517,EPSG:32651,101,139,6,-9999.0,1193,298.25,-0.6450304388999939,0.7576444149017334,-0.4395706498283465,-0.053108543157577515,0.24216844141483307,-0.039840576175892255,-0.042712435126304626,0.18411831557750702,-0.029981630145082653
20240518,EPSG:32651,101,139,6,-9999.0,5708,1427.0,-0.9945054650306702,0.750594973564148,-0.4426036300294274,-0.056264523416757584,0.30824512243270874,-0.03724575267790833,-0.04357680678367615,0.2354428619146347,-0.02770243139134809
20240519,EPSG:32651,101,139,6,-9999.0,0,0.0,,,,,,,,,
20240520,EPSG:32651,101,139,6,-9999.0,0,0.0,,,,,,,,,
20240521,EPSG:32651,101,139,6,-9999.0,0,0.0,,,,,,,,,
20240522,EPSG:32651,101,139,6,-9999.0,0,0.0,,,,,,,,,
20240523,EPSG:32651,101,139,6,-9999.0,3383,845.75,-0.9882006049156189,0.7681241035461426,-0.42946650834137173,-0.05554432049393654,0.2746540606021881,-0.03476541772291866,-0.042489245533943176,0.2110411822795868,-0.02618336632941455
20240524,EPSG:32651,101,139,6,-9999.0,17,4.25,0.05552825704216957,0.9165197014808655,0.6415765015956234,0.022575678303837776,0.2683865427970886,0.09007535907713805,0.021661512553691864,0.22298437356948853,0.07352606974103872
20240525,EPSG:32651,101,139,6,-9999.0,0,0.0,,,,,,,,,
20240526,EPSG:32651,101,139,6,-9999.0,0,0.0,,,,,,,,,
20240527,EPSG:32651,101,139,6,-9999.0,0,0.0,,,,,,,,,
20240528,EPSG:32651,101,139,6,-9999.0,1222,305.5,-0.5824176073074341,0.6381545066833496,-0.31908534932424315,-0.057093266397714615,0.22068281471729279,-0.048518126302683776,-0.04377562925219536,0.1720258891582489,-0.03490156936878415
